0.jpg,39.91394841,-75.06024328
1.jpg,39.91394841,-75.06024048
2.jpg,39.91394841,-75.06023768
3.jpg,39.91394841,-75.06023488
4.jpg,39.91394841,-75.06023208
5.jpg,39.91394865,-75.0602325
6.jpg,39.91394889,-75.06023291
7.jpg,39.91394913,-75.06023333
8.jpg,39.91394937,-75.06023375
9.jpg,39.91394961,-75.06023417
10.jpg,39.91394985,-75.06023459
11.jpg,39.91395009,-75.06023501
12.jpg,39.91395033,-75.06023543
13.jpg,39.91395057,-75.06023585
14.jpg,39.91395081,-75.06023627
15.jpg,39.91395105,-75.06023669
16.jpg,39.91395129,-75.06023711
17.jpg,39.91395153,-75.06023753
18.jpg,39.91395178,-75.06023794
19.jpg,39.91395202,-75.06023836
20.jpg,39.91396183,-75.06023913
21.jpg,39.91397165,-75.06023991
32.jpg,39.91407592,-75.06023395
39.jpg,39.914136,-75.06020567
40.jpg,39.91414686,-75.06019975
41.jpg,39.91415772,-75.06019382
50.jpg,39.91425626,-75.06014198
58.jpg,39.91434933,-75.06010651
61.jpg,39.91438196,-75.06009468
63.jpg,39.91440294,-75.06008729
